Card ID,Name,Type,Deck,Players,Cost,Prerequisite,Card Text,Bonus Points,banned,is_no,dealt,drafted,played,won,ADP,play_ratio,win_ratio,PWR,PWR_no_log,PWR_normalized
0,Abandonedwell,Minor Improvement,G7,,,,,,False,False,247.0,122.0,57.0,11.0,4.81,0.2307692308,0.1929824561,0.64,0.5357523363,
FR001,Abandoned Willow,Minor Improvement,Fr,,,1 empty field,Immediately remove 1 empty field from your farmyard and receive 4 Wood. (That space now counts as unused).,,False,True,841.0,558.0,347.0,108.0,5.21,0.4126040428,0.3112391931,1.83,0.0,
FR002,Absinthe,Minor Improvement,Fr,,,3 Occupations,"Place 1 Food on the next 5 remaining Round spaces. At the start of these rounds’ Work phase, place the Food on an Action space of your choice. (The next player to use this space receives the Food.)",1,False,True,1011.0,922.0,780.0,288.0,3.64,0.7715133531,0.3692307692,4.07,4.0173476375,
E148,Academic,Occupation,E,3+,,,This card counts as 2 occupations for Minor Improvements and when scoring the 'Reeve' occupation card.,,False,True,745.0,248.0,66.0,21.0,5.99,0.088590604,0.3181818182,0.4,0.3355704698,
G67193,Acater,Occupation,G6,,,,Whenever you place Food from the supply on a future Round space you may place 1 additional Food per space.,,False,True,583.0,427.0,219.0,61.0,4.68,0.3756432247,0.2785388128,1.49,1.3650517657,
G56096,Acquirer,Occupation,G5,,,,"At the start of each round, you may pay Food equal to the number of Family members you have to buy 1 Good of your choice from the supply.",,False,True,865.0,815.0,702.0,236.0,2.24,0.8115606936,0.3361823362,3.9,3.8531881306,
6,Acquisitionlist,Minor Improvement,G7,,,,,,False,False,282.0,94.0,44.0,14.0,5.54,0.1560283688,0.3181818182,0.71,0.6769825919,
K105,Acreage,Minor Improvement,K,,,1 Occupation,"When you sow, you can plant grain on this card. There can be up to 2 stacks of grain on this card, as shown.",,False,True,884.0,743.0,621.0,164.0,4.47,0.7024886878,0.2640901771,2.65,2.5606675223,
K269,Acrobat,Occupation,K,4+,,,"Whenever you use the 'Travelling Players' action on an Action Space, after all other players have had their turns you may move that person to a free 'Plough' or 'Take 1 Grain' Action space and take the action.",,False,True,872.0,698.0,465.0,118.0,4.37,0.5332568807,0.2537634409,1.93,1.8458546485,
K267,Adoptive Parents,Occupation,K,1+,,,"When you take the 'Family Growth' action, you can pay 1 food and place the offspring on an Action space in the same round. The offspring does not then count as 'newborn'.",,False,True,897.0,703.0,462.0,154.0,5.13,0.5150501672,0.3333333333,2.45,2.3623719276,
10,Adventurer,Occupation,G7,,,,,,False,False,236.0,189.0,112.0,34.0,4.35,0.4745762712,0.3035714286,2.06,1.9111034244,
FR061,Agrarian,Occupation,Fr,,,,"At the start of each round, you may place 1 Food from your supply on the ”Plow 1 field” Action space. Any player that uses that space also receives the Food. At the end of the round, if the space has not been used, you take the Food back and may Plow 1 field.",,False,True,713.0,92.0,28.0,6.0,5.82,0.0392706872,0.2142857143,0.12,0.1116295045,
G56163,Alchemist’s Lab,Minor Improvement,G5,,,3 Occupations,This card is an additional Action space for all players. Any player who uses this Action space must pay you 1 Food to receive 1 building resource of every type that they already have in their supply.,1,True,False,717.0,638.0,469.0,153.0,4.38,0.6541143654,0.3262260128,3.05,2.8859204957,
G67243,Allegory,Minor Improvement,G6,,5W,,"When you play this card, you receive 1 Sheep, 1 Wild Boar and 1 Cattle.",1,False,True,570.0,517.0,275.0,90.0,4.06,0.4824561404,0.3272727273,2.26,2.1079972659,
G061,Almanac,Minor Improvement,G,,1W 1S,,"When you play this card, immediately take the field and breeding phases of a harvest on your farmyard. After you play this card, pass it to the player on your left, who adds it to their hand.",,False,False,492.0,325.0,172.0,51.0,5.34,0.3495934959,0.2965116279,1.48,0.008609513,
I64,Alms,Minor Improvement,I,,,No Occupations,"When you play this card, you receive 1 food for each completed round of the game. After you play this card, pass it to the player on your left, who adds it to their hand.",,False,True,861.0,418.0,307.0,125.0,4.78,0.356562137,0.4071661238,2.07,0.0135114028,
G45375,Alms Basket,Minor Improvement,G4,,,No Occupations,"When you play this card, take 1 Grain for every 2 completed rounds of the game.",,False,True,700.0,367.0,278.0,105.0,4.52,0.3971428571,0.3776978417,2.14,1.97327852,
G44286,Alms Collector,Occupation,G4,,,,"When you play this card, if it is your first Occupation, you receive 1 Food for every other Occupation in play (by any player) up to a maximum 7 Food.",,False,True,752.0,404.0,284.0,80.0,4.89,0.3776595745,0.2816901408,1.52,1.4394879918,
WM056,Almshouse,Minor Improvement,Wm,,1W 1R,,"At the end of the feeding phase of each Harvest, you may discard 1 Begging card that you received in any Harvest because you paid 1 Food less to feed your family.",,False,True,1027.0,897.0,776.0,243.0,3.2,0.7555988315,0.3131443299,3.38,3.3540288499,
19,Alpacafarm,Minor Improvement,G7,,,,,,False,False,324.0,181.0,93.0,31.0,5.44,0.287037037,0.3333333333,1.37,1.1463844797,
G001,Alternative Designer,Occupation,G,,,,"Whenever you build stables or fences, you may replace wood with the same amount of clay or stone. Whenever you build rooms, you may replace wood with the same amount of clay or stone, to a maximum of 2 clay and 2 stone.",,False,False,453.0,336.0,189.0,54.0,5.12,0.417218543,0.2857142857,1.7,1.6849123755,
G55624,Alternative Materials,Minor Improvement,G5,,,Pottery,Once during the Feeding phase of each Harvest you may convert 1 Wood to 2 Food and/or 1 Stone to 2 Food.,,False,True,639.0,133.0,58.0,15.0,6.15,0.0907668232,0.2586206897,0.34,0.2948726844,
WM001,Amazon,Occupation,Wm,,,,"Whenever you use the ”Fishing” Action space in Round 7/9/11/13, you receive 1 additional Sheep/Wild boar/Cattle animal of your choice.",,False,True,805.0,186.0,54.0,15.0,6.18,0.0670807453,0.2777777778,0.27,0.2464754018,
23,Ameliorator,Occupation,G7,,,,,,False,False,295.0,144.0,55.0,11.0,5.4,0.186440678,0.2,0.53,0.4842615012,
FR003,Amusement Park,Minor Improvement,Fr,,,1 pasture,"Place 1 Food each on the next 2/3/4/5 remaining Round spaces if you have 1/2/3/4 pastures. At the start of these rounds, you receive the Food.",1,False,True,842.0,770.0,586.0,177.0,4.13,0.6959619952,0.3020477816,3.0,2.9005606442,
25,Angryboy,Minor Improvement,,,,,,,False,True,,,,,,,,,,
K307,Animal Breeder,Occupation,K,4+,,,"When you fence unused spaces to create at least one new pasture, you can buy a pair of animals: 2 sheep for 1 food, 2 wild boar for 2 food or 2 cattle for 3 food.",,False,True,1055.0,1052.0,1006.0,294.0,1.72,0.9535545024,0.2922465209,3.98,3.9572988609,
WM002,Animal Buyer,Occupation,Wm,,,,"At the end of the Field phase of each Harvest, you may buy 1 or 2 animals. Pay 2/3/4 Food for each Sheep/Wild boar/Cattle.",,False,True,846.0,636.0,325.0,95.0,5.34,0.3841607565,0.2923076923,1.6,1.535084301,
I259,Animal Dealer,Occupation,I,3+,,,"Whenever you use one of the 'Sheep', 'Wild boar' or 'Cattle' Action spaces, you can pay 1 food to take 1 additional animal of that type.",,False,True,887.0,777.0,469.0,149.0,4.63,0.5287485908,0.3176972281,2.4,2.302524604,
G062,Animal Farm,Minor Improvement,G,,1W,2 Animal Types,"Once per round, you may return 1 of your animals to the supply for a guest token, which you place this round as you would a family member. (The guest represents the animal.)",,False,False,442.0,381.0,285.0,97.0,2.46,0.6447963801,0.3403508772,3.14,2.9260935143,
G002,Animal Farmer,Occupation,G,,,,"At the end of the game, you receive 1 bonus point for each of your pastures that cannot contain any more animals than it does. If all of your pastures qualify, you receive 1 additional bonus point.",,False,True,466.0,451.0,363.0,116.0,2.14,0.7789699571,0.3195592287,3.56,3.5169148708,
I101,Animal Feed,Minor Improvement,I,,,4 planted fields,"Immediately before scoring, you receive 1 additional animal of each type that you already have.",,False,True,911.0,519.0,187.0,61.0,5.77,0.2052689352,0.3262032086,0.96,0.900294256,
K305,Animal Handler,Occupation,K,4+,,,"Place 1 sheep on the space for Round 7, 1 wild boar on Round 10 and 1 cattle on Round 14. At the start of these Rounds, you can buy the animal for 1 food.",,False,True,799.0,307.0,109.0,28.0,6.11,0.1364205257,0.2568807339,0.5,0.436325223,
G003,Animal Holder,Occupation,G,,,,"If there are still 1/3/6/9 rounds to play, you immediately receive 1/2/3/4 wood. At the end of the game, each player who has the most animals receives 3 bonus points.",,False,False,625.0,546.0,428.0,141.0,3.76,0.6848,0.3294392523,3.22,3.1626168224,
34,Animalhusbandryworke,Occupation,G4,,,,,,False,True,809.0,795.0,749.0,229.0,2.27,0.9258343634,0.305740988,4.04,4.0167984295,
E216,Animal Keeper,Occupation,E,4+,,,"You can keep sheep, wild boar and cattle in the same pasture. This applies to all your pastures.",,False,True,714.0,211.0,42.0,7.0,6.23,0.0588235294,0.1666666667,0.14,0.1133786848,
36,Animalnurse,Occupation,G6,,,,,,False,False,515.0,313.0,160.0,50.0,5.78,0.3106796117,0.3125,1.39,1.3176144244,
WM057,Animal Nursery,Minor Improvement,Wm,,2W,,"You may place newborn animals of any type on this card immediately after their birth. They cannot be used for any purpose or moved of this card, but are counted at the end of the game. (This card does not count as a pasture or stable.)",1,False,True,765.0,270.0,104.0,28.0,5.9,0.1359477124,0.2692307692,0.52,0.467571644,
E24,Animal Pen,Minor Improvement,E,,"2 wood, 1 stone",4 Occupations,"Place 2 food on each remaining Round space. At the start of each round, you receive the food.",1,False,True,1087.0,1087.0,935.0,284.0,1.35,0.8601655934,0.3037433155,3.73,3.6765355971,
39,Animalpurchase,Minor Improvement,G7,,,,,,False,False,277.0,220.0,161.0,41.0,4.83,0.5812274368,0.2546583851,2.11,0.0131334907,
G68663,Animal Renovator,Occupation,G6,,,,"This card can hold 2/4 Animals of your choice if you live in a Clay Hut/Stone house. When you play this card, you may renovate your Wooden Hut.",,False,True,594.0,539.0,314.0,81.0,4.55,0.5286195286,0.2579617834,1.95,1.8736041029,
41,Animalshow,Minor Improvement,G7,,,,,,False,False,348.0,278.0,141.0,46.0,4.83,0.4051724138,0.3262411348,1.89,1.794594091,
K306,Animal Tamer,Occupation,K,1+,,,You can keep 1 animal in each room of your home. You may keep more than 1 type of animal in your home.,,False,True,713.0,301.0,120.0,33.0,5.98,0.1683029453,0.275,0.66,0.6005810459,
43,Animaltamersapprenti,Occupation,G5,,,,,,False,True,776.0,498.0,253.0,89.0,5.07,0.3260309278,0.3517786561,1.64,1.5736784506,
K342,Animal Trainer,Occupation,K,,,,"Whenever you take food from a ”Traveling players” space, you may immediately use it to buy animals: Pay 2 food for each sheep or wild boar and 3 food for each cattle.",,False,True,731.0,121.0,36.0,4.0,5.81,0.049247606,0.1111111111,0.08,0.0716565696,
G45300,Animal Trap,Minor Improvement,G4,,1S,The Well,"Place 1 cattle, 1 grain, and 1 cattle on the next 3 round spaces (in that order). At the start of these rounds, you receive the good.",,False,True,767.0,618.0,378.0,136.0,4.25,0.4928292047,0.3597883598,2.53,2.4124382478,
FR062,Animal Welfarist,Occupation,Fr,,,,"At the end of each Work phase in which you used both the ”Build Stables” action on an Action space and the ”Build Fences” action on an Action space, you receive 1 animal of each kind.",,False,True,836.0,473.0,233.0,60.0,5.53,0.278708134,0.2575107296,1.03,0.928481954,
E58,Animal Yard,Minor Improvement,E,,"1 wood, 1 stone",1 Occupation,Place up to two animals of your choice on this card. They need not be the same type of animal.,1,False,True,888.0,745.0,518.0,133.0,4.52,0.5833333333,0.2567567568,2.14,2.061158649,
G56427,Apiary,Minor Improvement,G5,,,4 Occupations,"At the end of each Work phase, you may Sow 1 field.",,False,True,896.0,853.0,679.0,230.0,2.7,0.7578125,0.3387334315,3.67,3.5752795227,
FR004,Apple Garden,Minor Improvement,Fr,,,,You receive 2 Bonus points for either Grain or Vegetables missing from your farm at the end of the game. (The fruit replaces this type of good.) (You still lose the points for the missing good.),,False,True,826.0,264.0,196.0,64.0,5.88,0.2372881356,0.3265306122,1.11,1.0673518802,
WM003,Apple Picker,Occupation,Wm,,,,"Whenever you use the ”Take 1 Grain” or ”Take 1 Vegetable” Action space, you receive an additional 1 Wood and 1 Food.",,False,True,823.0,754.0,589.0,156.0,3.84,0.7156743621,0.2648556876,2.71,2.6664867004,
WM058,Apple Tree,Minor Improvement,Wm,,1W,1 empty field,"Place 1 Wood from the general supply on an empty field. This field still counts as a field, but can no longer be used for sowing or other uses. In the field phase of each Harvest, you receive 1 Food.",1,False,True,840.0,550.0,316.0,79.0,5.22,0.3761904762,0.25,1.34,1.3095238095,
G77194,Appraiser,Occupation,G7,,,,"Whenever you play an Improvement with at least 2 different Building resources in the printed cost, you receive 1 Wood and 1 Food before paying the costs of the Improvement.",,False,True,350.0,297.0,169.0,41.0,4.25,0.4828571429,0.2426035503,1.67,1.5942519019,
G004,Apprentice,Occupation,G,,,,"At the beginning of every harvest, you receive 1 food for every major improvement you own worth at least 2 points without counting bonus points.",,False,False,226.0,105.0,43.0,13.0,5.78,0.1902654867,0.3023255814,0.82,0.7644136066,
WM059,Apprenticeship,Minor Improvement,Wm,,1F,,"Immediately play an Occupation if you have fewer Occupations than each other player. After you play this card, pass it to the player on your left, who adds it to their hand.",,False,True,821.0,504.0,250.0,77.0,5.56,0.3045066991,0.308,1.34,0.0053593179,
G68501,Aquavit,Minor Improvement,G6,,,2 Occupations,"When you play this card, you receive 4 Food and 1 Begging card. At any time, you may pay 3 Food to discard that Begging card.",,False,True,592.0,540.0,468.0,167.0,4.06,0.7905405405,0.3568376068,4.03,3.8921476421,
G69140,Archangel,Minor Improvement,G6,,,,"Place 2 Reed on the ”Take 1 Grain” Action space from the general supply. Any player who uses that space may also receive 1 Reed from it. Once there is no Reed on that space, you receive 1 Vegetable.",,False,True,501.0,454.0,410.0,111.0,3.82,0.8183632735,0.2707317073,3.17,3.0493020927,
G44921,Archer,Occupation,G4,,,,"Whenever you receive animals from an Action space, immediately afterward you receive 1/2/3 Wood if you have 1/2/3+ people on Action spaces that provide animals.",,False,True,694.0,218.0,78.0,23.0,6.08,0.1123919308,0.2948717949,0.47,0.4248873125,
G005,Architect,Occupation,E,1+,,,"Once during the game, at any time after your home reaches at least 5 rooms, you may extend it by 1 room at no cost.",,False,False,425.0,194.0,104.0,38.0,5.55,0.2447058824,0.3653846154,1.28,1.2159017453,
G74398,Art,Minor Improvement,G7,,2W 1R,Stone house,(This card has no effect.),3,False,True,309.0,281.0,157.0,54.0,3.9,0.5080906149,0.3439490446,2.5,2.3852222232,
FR063,Art Director,Occupation,Fr,,,,"Whenever you use the ”Traveling Players” Action, you receive an additional 1 Food and a building resource of your choice.",,False,True,803.0,758.0,586.0,152.0,3.19,0.7297633873,0.2593856655,2.7,2.6303118547,
G56318,Artichoke field,Minor Improvement,G5,,1W,2 Occupations,"When you Sow, you may Sow on this card as if it were 1 field. Whenever you harvest 1 or more goods from this card during the Field phase of Harvest, you receive 1 Food.",1,False,True,698.0,670.0,522.0,158.0,3.89,0.7478510029,0.3026819923,3.23,3.1965597226,
G006,Artisan,Occupation,G,,,,"At most once per harvest, when you use an improvement to convert a building resource to food, you receive 2 additional food.",,False,False,467.0,203.0,88.0,24.0,5.95,0.1884368308,0.2727272727,0.73,0.7091409661,
FR005,Artists Garden,Minor Improvement,Fr,,,3 Occupations,"In the Returning home phase of each round, you may harvest 1 field.",1,False,True,1076.0,1034.0,862.0,283.0,2.85,0.8011152416,0.3283062645,3.76,3.7137139851,
64,Ashbringer,Minor Improvement,G6,,,,,,False,False,393.0,388.0,294.0,88.0,2.63,0.7480916031,0.2993197279,3.2,3.1553151977,
